day,date,temp_min_c,temp_max_c,temp_mean_c,rh_pct,rainfall_mm,wind_speed_kmh
1,2026-08-22,23.1,28,25.6,90,8.4,22.8
2,2026-08-23,23.1,29.1,26.1,88,9.0,24.3
3,2026-08-24,22.5,25.6,24.1,96,29.0,19.7
4,2026-08-25,22.8,26.1,24.5,96,62.3,22.2
5,2026-08-26,22.5,27.6,25.1,95,17.2,20.7
6,2026-08-27,23.1,29.3,26.2,89,4.0,22.0
7,2026-08-28,23.6,27.8,25.7,91,8.7,21.1
8,2026-08-29,22.8,28.5,25.6,92,10.0,22.9
9,2026-08-30,22.7,30.3,26.5,82,0.9,24.4
10,2026-08-31,23.3,30.8,27.1,81,0.5,23.1
11,2026-09-01,23.6,30.5,27.1,82,3.8,21.9
12,2026-09-02,23.9,30.9,27.4,83,3.3,19.8
13,2026-09-03,23.7,30.6,27.1,83,4.5,18.2
14,2026-09-04,24.2,31.5,27.9,81,1.0,19.8
15,2026-09-05,24.3,31.8,28.1,81,1.7,17.3
16,2026-09-06,24.4,31.2,27.8,82,3.5,17.3
17,2026-09-07,23.9,31.7,27.8,79,1.1,19.6
18,2026-09-08,24.1,31.2,27.6,79,1.1,22.1
19,2026-09-09,23.9,31.3,27.6,78,1.1,19.8
20,2026-09-10,24.1,32,28.1,81,3.4,18.9
21,2026-09-11,24.7,32.6,28.6,78,0.7,18.4
22,2026-09-12,24.5,32.1,28.3,77,0.2,17.8
23,2026-09-13,23.3,32.2,27.8,78,0.0,18.6
24,2026-09-14,24.3,32.4,28.4,75,0.2,17.8
25,2026-09-15,23.9,31.2,27.5,83,3.9,15.8
26,2026-09-16,23.5,31.9,27.7,80,1.9,15.1
27,2026-09-17,23.6,30.3,27.0,86,5.1,16.7
28,2026-09-18,23.8,29.9,26.9,86,2.7,13.5
29,2026-09-19,24.1,29.6,26.9,88,12.6,10.5
30,2026-09-20,23.8,29.9,26.9,90,13.8,11.9
